,CLNT_ID,value
47441,1368930,999930
47442,1811578,999930
47443,2484427,999900
47444,4135146,999900
47445,4333349,999900
47446,5917461,999900
47447,6456067,999900
47448,6462268,999900
47449,1655043,999860
47450,5096924,999810
47451,5851891,999810
47452,883734,999800
47453,1719472,999800
47454,1752487,999800
47455,2757518,999800
47456,4395095,999800
47457,6247805,999790
47458,732600,999710
47459,3487018,999710
47460,2166698,999700
47461,5564291,999700
47462,6459764,999700
47463,242093,999660
47464,3320819,999660
47465,4171363,999640
47466,2405347,999600
47467,5065581,999600
47468,5628320,999600
47469,5945324,999560
47470,3251509,999550
47471,246387,999540
47472,1133032,999500
47473,1651634,999500
47474,2648723,999500
47475,3140652,999500
47476,3178636,999500
47477,6112301,999500
47478,6311847,999500
47479,328766,999400
47480,1072614,999400
47481,3423052,999400
47482,740883,999350
47483,2230073,999300
47484,2599304,999300
47485,3999517,999300
47486,4905884,999300
47487,2637013,999260
47488,4093194,999250
47489,5532300,999250
47490,4449047,999240
47491,51247,999200
47492,5313728,999200
47493,5343789,999200
47494,3408478,999160
47495,3539399,999140
47496,3815768,999130
47497,889808,999110
47498,1209748,999100
47499,2071483,999100
47500,3589316,999100
47501,3797902,999100
47502,4483936,999100
47503,5164426,999100
47504,6154144,999100
47505,6171899,999030
47506,3244250,999010
47507,465415,999000
47508,687574,999000
47509,1043375,999000
47510,1150881,999000
47511,1581490,999000
47512,1605309,999000
47513,1771364,999000
47514,2229037,999000
47515,4869754,999000
47516,5136007,999000
47517,5332577,999000
47518,5546916,999000
47519,5679053,999000
47520,5798747,999000
47521,6170282,999000
47522,4662061,998900
47523,5561675,998900
47524,4126029,998880
47525,3172836,998870
47526,3613405,998860
47527,4520402,998860
47528,3663693,998850
47529,2905708,998820
47530,8557,998800
47531,2314325,998800
47532,3438346,998800
47533,4019189,998800
47534,4654704,998800
47535,4754917,998800
47536,4919365,998800
47537,5579836,998800
47538,5384935,998740
47539,1528677,998700
47540,4148517,998700
47541,6291797,998700
47542,3899297,998600
47543,5771127,998600
47544,986874,998570
47545,3157476,998500
