CLNT_ID,PD_BUY_TOT
63,1333730
148,2200000
230,590000
254,504000
291,981800
434,593300
451,1600600
460,967700
461,986250
497,2497350
551,601000
556,4674790
670,801000
675,582000
678,679200
813,645000
864,505800
918,1757470
988,561620
1063,1254900
1118,1708800
1177,581850
1178,744320
1191,692820
1206,591800
1258,1470000
1271,565000
1281,1587600
1291,1035120
1311,667900
1387,1923769
1396,1920200
1440,2073600
1528,800270
1531,860100
1546,583660
1554,1980520
1658,2960860
1716,1278600
1735,981000
1752,517700
1771,1280900
1859,951000
2045,752390
2137,793800
2160,6429600
2189,1371970
2239,894520
2262,629400
2267,796100
2291,2046420
2331,1721800
2362,646700
2375,502600
2382,1083000
2445,526800
2558,3283200
2641,525700
2652,682200
2717,684560
2806,1466700
2816,662610
2836,596800
2982,1650400
2992,616000
3042,849150
3063,674400
3078,1005800
3223,502500
3253,764350
3295,1085400
3374,1458720
3380,1169040
3399,591600
3415,658000
3437,1746860
3440,517800
3539,765000
3546,757150
3635,1249600
3914,5217590
3933,4156100
3934,1329800
3992,680000
4005,582400
4083,993500
4203,713000
4507,569050
4508,1853400
4532,758000
4592,915600
4619,5310800
4648,2442900
4749,997000
4776,728240
4788,4156120
4829,1150100
5044,1240200
5055,941810
5104,1196200
5135,975000
5149,1608990
5155,5520000
5198,1025900
5285,686500
5445,2193600
5550,1237460
5768,1928900
5773,1350900
5778,662200
5798,638850
5827,545170
5829,1191900
5850,1049240
5955,571000
5979,1100900
5990,849450
5993,546800
6002,1907000
6019,1064000
6089,620000
6093,1649400
6255,824040
6434,585000
6443,1115700
6482,960000
6659,644800
6694,1632050
6819,3424300
6840,733000
6955,531000
6978,508000
7035,608500
7081,1023440
7197,2197500
7263,2225780
7278,726740
7361,543000
7386,510100
7440,1666250
7474,555000
7522,719100
7529,761920
7618,4769370
7708,4549180
7838,563500
7842,2815810
7843,822100
7849,541800
7881,1157000
7946,1212000
8061,623060
8150,709400
8153,563600
8192,635000
8196,505800
8220,722100
8239,1734500
8351,11805860
8357,701440
8526,1274000
8557,998800
8571,556000
8613,613600
8633,838000
8653,504500
8690,731200
8746,622300
8752,616420
8773,764600
8781,686800
8863,621400
8900,2298000
8952,641400
9041,576900
9049,1255100
9055,5116320
9056,1759290
9071,1165000
9107,590400
9112,1622200
9241,562900
9246,1089500
9253,928600
9281,1063100
9286,944000
9344,924200
9351,740600
9392,712120
9507,1015000
9694,525000
9753,513500
9769,712900
9839,541520
9899,650040
9900,684600
9908,874300
10021,2613700
10177,1558030
10207,747000
10248,647230
10255,1367900
10323,540000
10333,881100
10444,903000
10530,778850
10546,1218000
10585,780000
10592,1017760
10643,551500
10695,705200
10698,2099000
10743,1283630
10796,510000
10818,2377340
10839,890000
10885,594900
10912,1136400
10931,668000
11090,1596540
11096,625800
11135,509000
11144,2319300
11215,967230
11220,524600
11403,957800
11455,4120000
11509,544980
11524,2692150
11557,598000
11673,2815950
11721,553730
11761,1000490
11843,1393100
11884,2149200
11979,961700
12015,506900
12030,562400
12122,798000
12260,574890
12338,951300
12389,1085000
12522,755200
12536,525900
12633,1432020
12801,640000
12823,1132580
12827,1323600
12831,937900
12836,514900
12876,2125940
12896,1141000
12917,1429970
12953,1032200
13010,745900
13019,506540
13050,1110800
13099,617200
13132,913500
13143,809510
13215,754500
13363,630600
13393,3972100
13451,589000
13458,783320
13482,1027500
13516,2617460
13650,3931920
13694,696620
13705,690000
13721,737650
13752,2000300
13761,775650
13775,771700
13776,674700
13788,792500
13838,1179410
13996,647530
14100,1139200
14172,672000
14254,788600
14338,855040
14346,2726510
14512,2525930
14690,554300
14739,915610
14783,1139900
14831,814000
14840,715720
14849,2299000
14857,1144600
14883,1229200
15033,2755750
15098,721700
15124,822280
15126,608700
15152,823420
15165,915200
15198,511700
15216,1801900
15258,1211000
15282,622300
15290,696100
15479,631600
15492,817280
15564,1155500
15591,1864100
15622,575000
15643,1039120
15657,1262400
15667,603280
15691,3165840
15751,509300
15756,1015000
15923,785650
15978,527700
16180,609600
16212,716000
16286,1115920
16304,1506300
16384,615700
16398,637130
16407,1210060
16415,897830
16426,830190
16587,525900
16610,722100
16683,879600
16698,695000
16779,502000
16827,2311440
16939,1272910
17040,1765280
17117,1681800
17146,510600
17160,577800
17202,674000
17205,516000
17278,647900
17330,914460
17359,742100
17381,718700
17394,1451000
17399,1263800
17448,515400
17466,706600
17474,658000
17502,710600
17635,513200
17676,808000
17728,510000
17782,1383480
17837,761640
17863,1993830
17879,659060
17896,1051620
18021,545710
18032,1692000
18107,1741400
18170,1243700
18237,557200
18379,511000
18415,2943050
18465,503200
18472,1934700
18473,588000
18476,5696350
18491,692000
18715,993200
18733,563700
18739,2200000
18754,524200
18797,644280
18943,10003810
18956,525600
18982,1360500
19058,651040
19119,949530
19164,927760
19179,607670
19193,1716000
19284,2238060
19310,557000
19340,1100350
19346,601000
19407,688870
19458,1810080
19499,1728100
19606,656600
19610,582000
19775,509190
19804,939850
19856,612600
20005,591060
20030,14192500
20054,2419300
20073,875640
